"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"TOENJES","Toenjes Lake",2648,-13,310,"Radiocarbon years BP",TRUE,-15,94,NA,NA,FALSE
"TWINMN1","Twin Lakes",2881,-13,287,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"UPGRAVEN","Upper Graven Lake",2888,12,11000,"Radiocarbon years BP",TRUE,-34,10310,NA,NA,FALSE
"WEBERLK","Weber Lake",3837,10,15000,"Radiocarbon years BP",TRUE,10,56,NA,NA,FALSE
"WENTZEL","Wentzel's Pond",2948,-30,3249,"Radiocarbon years BP",TRUE,-30,2425,NA,NA,FALSE
"WHITLIL1","White Lily Lake",2952,-12,359,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"WHITLILY","White Lily Lake",3841,8000,16150,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"WILWRDPD","Willow River Pond",2956,4818,8003,"Radiocarbon years BP",TRUE,5160,7890,NA,NA,FALSE
"WOLFCRK","Wolf Creek",3029,9000,20658,"Radiocarbon years BP",TRUE,9150,20500,NA,NA,FALSE
"WOLSFELD","Wolsfeld Lake",3031,-25,12000,"Radiocarbon years BP",TRUE,-25,12000,NA,NA,FALSE
"SOUHERON","South Heron Lake",10970,-10,145,"Calendar years BP",TRUE,-13,92,NA,NA,FALSE
"OCHEDA","Ocheda Lake",10971,-10,124,"Calendar years BP",TRUE,-13,82,NA,NA,FALSE
"BLOMFORD","Blomford Lake",10973,-20,1322,"Calendar years BP",TRUE,-30,96,NA,NA,FALSE
"FAWNANMN","Fawn Lake",10974,-26,403,"Calendar years BP",TRUE,-30,95,NA,NA,FALSE
"FROVOLD","Frovold Lake",10975,-20,334,"Calendar years BP",TRUE,-30,83,NA,NA,FALSE
"GOOSEMN","Goose Lake",10976,-17,217,"Calendar years BP",TRUE,-28,94,NA,NA,FALSE
"OLSONMN","Olson Lake",10977,-28,2063,"Calendar years BP",TRUE,-28,80,NA,NA,FALSE
"RNDGROVE","Round Grove Lake",10983,-22,330,"Calendar years BP",TRUE,-28,95,NA,NA,FALSE
"LASTLAKE","Last Lake",12004,-24,870,"Calendar years BP",FALSE,NA,NA,NA,NA,FALSE
"MNLYC2","Cottonwood Lake",12005,-11,816,"Calendar years BP",TRUE,-20,86,NA,NA,FALSE
"MONSON","Monson Lake",12006,-27,176,"Calendar years BP",TRUE,-30,93,NA,NA,FALSE
"DEANS","Deans Lake",12007,0,733,"Calendar years BP",TRUE,-29,96,NA,NA,FALSE
"EMILY","Lake Emily",12008,-12,211,"Calendar years BP",TRUE,-29,96,NA,NA,FALSE
"PERCHMN","Perch Lake",12009,-27,201,"Calendar years BP",TRUE,-29,79,NA,NA,FALSE
"CHUBLAKE","Chub Lake",12010,-9,427,"Calendar years BP",TRUE,-29,96,NA,NA,FALSE
"MNDLLR","Lake Rachel",12011,-30,672,"Calendar years BP",TRUE,-30,84,NA,NA,FALSE
"ZIEBELL","Ziebell Lake",12012,-32,483,"Calendar years BP",TRUE,-32,79,NA,NA,FALSE
"MNDLML","Mud Lake",12013,-28,326,"Calendar years BP",TRUE,-30,84,NA,NA,FALSE
"LYBECK","Lybeck Lake",12014,-32,235,"Calendar years BP",TRUE,-32,83,NA,NA,FALSE
"UNION","Union Lake",12015,-27,525,"Calendar years BP",TRUE,-30,84,NA,NA,FALSE
"MNFRAL","Albert Lea Lake",12016,-27,209,"Calendar years BP",FALSE,NA,NA,NA,NA,FALSE
"ALBERTL3","Albert Lea Lake",15248,9,317,"Calendar years BP",TRUE,-46,90,NA,NA,TRUE
"EVRHRTLK","Everhart Lake",12024,-27,363,"Calendar years BP",TRUE,-30,96,NA,NA,FALSE
"SHARKEY","Sharkey Lake",13029,65,12082,"Calibrated radiocarbon years BP",TRUE,-51,10255,NA,NA,TRUE
